,segment,sentiment,isSentence
11268,Summary of Conclusions and Recommendations 23.,neutral,True
11273,The formulation of a responsible transition strategy with policies and additional tools should enable UNHCR to strengthen its support and help States to meet the challenges involved in individual RSD.,neutral,True
11274,Political willingness is on the other hand not a safeguard for correct RSD decision-making in compliance with international norms.,neutral,True
11275,The review recommends (1) the identification of a limited set of global indicators for continued mandate RSD to capture these situations.,neutral,True
11277,"These foundations require a much longer perspective and should fit in agendas for development, good governance and the rule of law.",neutral,True
11280,Especially in the area of independent appeals and legal assistance international standards and practice have evolved.,neutral,True
11282,"Much will depend on the wishes of the government, possible protection gaps, the risk of national structures becoming overwhelmed from the start, and standards of fairness.",neutral,True
11285,It should include the development of model SOPs for such mandate RSD procedures.,neutral,True
11286,"Although funding may provide general leverage, its use as a tool for encouraging concrete improvements in RSD appears to be difficult and limited.",neutral,True
11288,"Adequate resources are not only necessary to support authorities when they start the new procedure but throughout the transition process, from assessment and planning to transfer, implementation and consolidation.",neutral,True
11289,Resource inputs are also necessary to work on the foundations for a sustainable protection environment at same time.,neutral,True
11290,The report recommends (11) that UNHCR considers establishing benchmarks for protection staffing in situations of transition.,neutral,True
11291,"The answers to the questionnaire and additional research have resulted in a historical graph, which is contained in annex III to the report.",neutral,True
11293,"Ultimately, the political willingness to invest in an adequate system and the humanitarian spirit with which it is operated will be decisive for the proper identification of refugees.",neutral,True
11296,"In addition, it is proposed (vi) to complement the findings with a more strategic inquiry into recent alternative, protection sensitive strategies which have helped to relieve pressures on individual RSD systems.",neutral,True
11304,There is a lack of evidence to show that CERF has been successful in leveraging additional income for UNHCR and there was some suggestion that the opposite may be true.,neutral,True
11313,"Somalis comprised the largest nationality group among asylum-seekers and refugees, at some 427,311.",neutral,True
11314,"The number of pending claims in Kakuma remains substantial, and will require concerted efforts to address it and ensure that decision-making can continue to keep pace with new claims.",neutral,True
11315,"ProGres database will need to ensure that safeguards to guarantee data protection and limitations on the use of data are developed and maintained, as well as regulating ongoing access for UNHCR to data on asylum seekers and refugees to enable it to carry out its protection and assistance activities.",neutral,True
11317,"It will also be important to ensure that refugees granted status by UNHCR pursuant to its mandate prior to 1 July 2014 are recognised, and the entitled people granted status, under national law, as has occurred in other contexts.",neutral,True
11318,A mechanism for on-going self-evaluation and quality assurance by DRA will also be needed in the future.,neutral,True
11319,"This is particularly the case in camps, where both asylum-seekers and refugees (although in principle not those whose claims are rejected) are entitled to services and support.",neutral,True
11320,"The Act establishes DRA and sets out a comprehensive institutional RSD framework, yet its implementation proves problematic in practice.",neutral,True
11321,"National security actions taken in 2012-13 and 2014 with regard to encampment.– including measures to enforce encampment rules in the 2006 Act, have highlighted the vulnerability of undocumented urban asylum seekers and refugees in Kenya.",neutral,True
11322,"The findings of a survey of a small sample of persons of concern selected by UNHCR, conducted in Nairobi and Dadaab, seek to provide some individual expressions of the perspectives of asylum seekers and refugees regarding the ongoing transition process.",neutral,True
11325,"In order to achieve an efficient and sustainable national RSD system, as part of an effective refugee protection framework in Kenya more broadly, it is imperative that the political will on the part of the authorities to take charge of registration and refugee status determination is translated into a commitment to allocate sufficient and sustained resources (both human and financial) in the coming years.",neutral,True
11326,"Clarifying the role of UNHCR before, during and after transition, and enshrining it in clear agreements with national authorities, is also an important priority for current and future transition processes.",neutral,True
11328,"Arguably it is different than its role in Jordan or Lebanon, and closer to what might be expected whenever UNHCR is engaged in a large-scale refugee influx in an advanced economy with a strong government.",neutral,True
11329,"Initially the Government declined offers of assistance from UNHCR, so UN agencies and INGOs mainly organized themselves in parallel to the Government.",neutral,True
11333,"By the middle of 2015, 1.8 million Syrian refugees scattered throughout every province of Turkey were registered at a basic level (at a scale that would not have been achievable o",neutral,True
11336,It is further estimated that less than 15% of the out-of-camp refugee population receives assistance through a network of UNHCR- and donor-supported community centres.,neutral,True
11338,"However, it will not significantly reduce the population of Syrians in Turkey, whose birth rate alone is greater than any likely resettlement rate.",neutral,True
11339,The evaluation team strongly recommends that gathering required data and then addressing these risks through coherent interagency action plans become an immediate protection priority.,neutral,True
11344,"Furthermore, there is no reliable data on educational achievement.",neutral,True
11345,"Looking ahead, the evaluation team concluded that the education sector is the single most important priority for significant further programming investment by UNHCR.",neutral,True
11347,"To be efficient in this context, UNHCR first needs to increase its education staff in-country, both in Ankara and in the field offices.",neutral,True
11348,"While Syrian refugees currently benefit from an exceptional welcome from both the Turkish Government and the Turkish people, this cannot be taken for granted as both the political and economic contexts of Turkey could change rapidly and at any time.",neutral,True
11349,"Anticipating and managing the social cohesion challenges ahead will require active engagement with local governments, stronger refugee representation, proactive strategic communications (with social cohesion and not UNHCR fundraising as the goal), more effective outreach from existing community centres, as well as large-scale and visible investment by development actors and INGOs in Turkish communities that are heavily affected by Syrian refugees.",neutral,True
11350,"Key components of such a strategy could be advocacy for refugees to increase their access to the formal labour market inter alia by gaining access to formal vocational training, to regularise informal work, and to permit refugees to re-register where they are currently living and working (but without access to social services that are tied to their province of registration).",neutral,True
11351,"All agencies involved, including the Government of Turkey, have embraced Cash-Based Interventions, but the evaluation team felt there was still a place for targeted in-kind assistance in camps and for response to sudden mass influxes.",neutral,True
11352,"To consolidate this progress and address some remaining critical gaps, UNHCR needs to increase management emphasis on coordination and on strategic communications, and focus policy and advocacy work specifically on the exceptional vulnerabilities to SGBV, early marriage and child labour experienced by Syrian women and children in Turkey.",neutral,True
11353,"Two key elements of tackling these remaining protection gaps and to enhancing social cohesion in the long term are (a) to greatly increase investment in education, and (b) to work at the policy and advocacy level on regularising informal labour, and on allowing Syrian refugees to re- register where they are actually living and working.",neutral,True
11358,"The Ukraine programme also provides an important opportunity to test an integrated refugee and IDP programme, as refugees and IDPs distributed across the country have similar needs met by similar UNHCR responses that could be combined into an integrated programme.",neutral,True
11360,Is there adequate fund- raising for this operation?,neutral,True
11361,"Several refugee situations were identified for particular attention in the context of this initiative, including Afghan refugees in Iran and Pakistan, refugees in Croatia and Serbia, Eritrean refugees in eastern Sudan, Burundian refugees in Tanzania and Rohingya refugees from Myanmar in Bangladesh.",neutral,True
11362,"In the recent past, Bangladesh has experienced two influxes of refugees from Myanmar, the first in 1978 and the second in 1991-92.",neutral,True
11363,"Unsurprisingly in these circumstances, the operational environment is a very challenging one.",neutral,True
11364,"In areas such as health and education, as well as the supply of food, water and fuel, the refugees are poorly served.",neutral,True
11365,"First, as the three traditional durable solutions appear so elusive, alternative approaches should be considered.",neutral,True
11366,"Third, it should be recalled that the Rohingya refugee situation is now a truly regional one, affecting not only Bangladesh but also countries such as Thailand, Malaysia, Indonesia and Australia as well as India and the Middle East.",neutral,True
11367,"The organization should immediately capitalize on this renewed interest, reminding the international community that the Rohingya are trapped not only in a protracted refugee situation, but also in a protracted situation of statelessness.",neutral,True
11368,"In this respect, it should be noted that Bangladeshi nationality law is based on the principle of jus solis, allowing all persons born in Bangladesh to acquire citizenship at birth.",neutral,True
11369,"UNHCR should continue to look for opportunities to implement projects that other agencies have avoided or neglected, even if this means implementing in remote communities.",neutral,True
11371,The true test of any reintegration programme is this: did it work in the eyes of the local population?,neutral,True
11372,"Eastern Sudan has hosted refugees from neighbouring Eritrea since the late 1960s, making this refugee situation one of the most protracted in the world.",neutral,True
11373,"While there is a growing interest in resettlement, few of the refugees have access to this solution.",neutral,True
11374,"In such circumstances, the only viable solution is that of local integration.",neutral,True
11375,"Most of the refugees who arrived before 2001 have the same ethnicity, language, culture and religion as their Sudanese hosts.",neutral,True
11376,"While the refugees are under no pressure to return to their country of origin, and while Sudan has kept its borders open to a significant influx of new arrivals from Eritrea, the government in Khartoum has not been prepared to offer the long-term refugees the option of naturalization and citizenship.",neutral,True
11377,This review suggests that UNHCR should pursue a three-pronged approach to the refugee situation in eastern Sudan.,neutral,True
11378,"As those objectives are achieved, the camps should be decommissioned and integrated into national service-delivery structures.",neutral,True
11379,"Third, given the high levels of poverty and low levels of development in eastern Sudan, UNHCR must link its humanitarian activities to long-term aid and investment strategies that are designed to bring robust growth to this neglected part of the country, thereby allowing both refugees and their local hosts to enjoy improved levels of human security.",neutral,True
11380,Peace has held in El Salvador but the rural economy has not.,neutral,True
11381,"The poor in El 2 Salvador today survive in very large part thanks to remittances from migrants now living in the US, Canada and elsewhere.",neutral,True
11382,"A few years later, in 1999, I was in Mozambique to evaluate the impacts of a Canadian-German community participation and development project.",neutral,True
11383,"In El Salvador and Mozambique as in almost all countries that have experienced years of conflict, families and individuals are likely to lose - or choose to forget - the ties than have bound them for generations to a particular place.",neutral,True
11384,Thanks to the US Institute for Peace Jennings Randolph Fellowship program for hosting the author during research.,neutral,True
11385,"It is also of concern that the human trafficking unit has in a sense been demoted, politically-speaking.",neutral,True
11386,Operational challenges 13.,neutral,True
11387,Pilot site 10.,neutral,True
11388,"The fact that this new unit is not a department established by law, like the Refugee Department, and is no longer at ministerial level, could result in fewer opportunities for inter-ministerial coordination.",neutral,True
11391,"Tajikistan is a post-conflict state which has few resources, limited governmental capacity, no functioning social welfare system and poor socio-economic indicators.",neutral,True
11392,Ethnic linkages between the Tajik people and the small and predominantly Afghan refugee population have generally been conducive to good relations between the two communities.,neutral,True
11393,"As well as pursuing these broad strategic objectives, UNHCR should focus its efforts on six specific areas in which the protection space available to refugees and asylum seekers in Tajikistan is currently very limited.",neutral,True
11397,The registration of individuals as asylum seekers requires proof of residence outside urban centres.,neutral,True
11399,"Particular attention should be given to interviewing techniques, access to and use of country of origin information, exclusion analysis and the concept of safe third country.",neutral,True
11403,"Generally, the Office should act as an interface with the authority in relation to any type of required documentation in order to ensure the fair treatment of persons of concern.",neutral,True
11405,This objective could be supported by establishing a network of refugee outreach volunteers and by undertaking regular participatory assessments and field visits.,neutral,True
11407,"Refugees in Tajikistan currently have very limited livelihoods and durable solutions options, and renewed efforts are needed to address this situation.",neutral,True
11408,"All of these endeavours should be coordinated with other members of the UN Country Team, steps being taken to ensure that refugees are included in broader poverty reduction and development initiatives.",neutral,True
11409,"This reports makes a series of recommendations, some of them related to UNHCR policy on refugees in urban areas in general and others related to the role and activities of UNHCR and its partners in Bulgaria.",neutral,True
11410,"Anecdotal evidence and some limited studies have shown that artistic activity is playing an important, though often overlooked, role in the lives of refugee camp residents.",neutral,True
11411,"Artistic activity, especially that which involves active participation, may provide tools to address the holistic wellbeing of refugees in camps.",neutral,True
11412,"The RTE captures the situation as it was at the end of February 2011, a moment when the overall humanitarian situation was deteriorating, as the political and security crisis deepened.",neutral,True
11413,The refugee crisis therefore attracted a higher level of attention from the UN system and the Government of Liberia than it might otherwise have done.,neutral,True
11416,What can be learned from this experience for future emergencies?,neutral,True
11417,The process of defining responsibilities and mobilising capacities must start in the contingency planning phase.,neutral,True
11418,"Third, a defining feature of an effective emergency response is an early and rapid situation analysis, coupled with an assessment of existing capacity within the country office, and identification of additional resources needed in order to support effective leadership and coordination and at the same time to deliver the response in the field.",neutral,True
11419,This literature review aims to synthesise what is currently known about labour market integration of resettled refugees.,neutral,True
11420,"Refugees in Uganda have, in principle, access to public services and facilities at the same level as the nationals.",neutral,True
11422,"Uganda was already hosting 220,555 refugees at the time of the start of influx.",neutral,True
11425,"As per the Ugandan Refugee Act, refugee children have access to national schools, however, the absorption capacity of local schools and the large number of school-aged children amongst the refugees required additional learning sites.",neutral,True
11426,"Six months after the response, the primary school and early childhood enrolment was around 60% in Adjumani.",neutral,True
11435,"The Ugandan Government and institutions, at a central and 220 local level, played a crucial role in creating a very favourable operational context and protection environment.",neutral,True
11436,"In Ethiopia, UNHCR worked with over 40 partners among governmental entities, UN bodies, local and international NGOs.",neutral,True
11437,"With limited funds and capacity, UNHCR staff felt compelled to accept all offers of help from all partners as they arrived.",neutral,True
11441,"After the flooding in Leitchuor and some delays owing to the difficulty in finding suitable land and security concerns , the relocation of approximately 48,000 refugees from 350 Leitchuor to the newly opened camps was conducted expediently (in less than one month), under time pressure with national elections in Ethiopia and the rainy season approaching.",neutral,True
11443,"The prevalence of malnutrition remained high throughout 2014, although an initial estimate of 37% GAM rates in February 2014 was brought down significantly by June to 13.4% GAM and an even lower rate in early 380 2015.",neutral,True
11445,"Reliable mortality data was however extremely challenging in the first months of the response, community reporting on mortality was low, and dead were buried on the South Sudan side of the border.",neutral,True
11446,"A substantial portion of the general dry food ration provided in the camps was sold or bartered in order to cover other unmet needs, and the ration did not last the full month for most families5 .",neutral,True
11449,"Despite the high flood risk for Leitchuor, ARRA and the Gambella Regional Government did not approve any alternative sites.",neutral,True
11450,"Higher than normal flooding occurred, increasing the vulnerability and protection risks of the refugee population, physically blocking access to services and destroying some facilities.",neutral,True
11451,"While the mandate of formal primary education for refugees in Ethiopia lies with ARRA, there was a need to provide education opportunities before refugees could access education opportunities in the national system.",neutral,True
11462,"The growing number of refugees in Nairobi are confronted with other difficulties in the urban environment: insecurity, corruption, unemployment, overstretched public services and poor housing standards.",neutral,True
11469,The modernisa- tion (digitalisation) of procedures included a major capacity building exercise of officials and change of work processes in the immigration department.,neutral,True
11472,The Evaluation is of the view that relocation and in particular the local integration part of Pillar 3 could become the most difficult part of the comprehensive solutions strategy to implement.,neutral,True
11482,"The strategy for Pillar 3, published in June 2010, takes on a broad partnership approach and envisages the implementation to be in the hands of the Government and UN DaO with UNHCR playing a role in monitoring the protection needs.",neutral,True
11484,NGOs have been working with UNHCR in implementation.,neutral,True
11488,"Effectiveness is understood as an assessment of whether the objectives were achieved or are likely to be achieved based on the planned outputs, as well as major factors influenc- ing achievement or non-achievement.",neutral,True
11490,Such potential risks are flagged by the Evaluation but obviously it is premature to draw conclusions.,neutral,True
11492,The Evaluation was told that there are economic benefits of repatriation to the receiving communities in Burundi.,neutral,True
11493,"In Tanzania the community representatives in the vicinity of the settlements (host communities) found that closing of the settlements could lead to a reduction in pro- duce flowing to the local markets, a decline of social services and a reduction of tax revenues in the respective districts.",neutral,True
11494,"It was said that, once the NNTs have their certificates, their options should be equal to others, including access to education and employment opportunities.",neutral,True
11495,"The expectations of Pillar 3 are based on the interviews with NNTs, who did not have much information on what was going to happen.",neutral,True
11496,The main takeaways of the comparison of the GFM scheme to buying locally are clear.,neutral,True
11497,"There have been notable increases in the number of incidents reported, from 132 in 2014 to 463 in 2017.",neutral,True
11498,"Overall, GFM offers 10 models (Toyota and Nissan) with 49 different specifications (e.g., left or right driving, engine configuration).",neutral,True
11499,"Before the introduction of GFM, country operations sometimes made arbitrary vehicle disposal decisions and many vehicles were given to government or NGO partners through a Transfer of Ownership (ToO), or were sold at a low price through direct sales.",neutral,True
11500,The evaluation attempted to verify the hypothesis that reduced fleet age leads to a decrease in operating costs.,neutral,True
11501,"Finally, an important GFM objective was to improve the road safety awareness of UNHCR staff and partners.",neutral,True
11503,"On average, lead time is about six months.",neutral,True
11506,"Overall, 302 staff participated in 19 countries offered by GFM from January 2018 to October 2018.",neutral,True
11508,Other humanitarian organizations such as the ICRC and IFRC have shown that a centralized fleet management model is economical and sustainable.,neutral,True
11509,"The close association of the PoC with UN multidimensional peacekeeping missions, and more particularly with integrated missions, could partly explain why the engagement of UNHCR with PoC as a theme (as distinct from its actual involvement in a range of activities aimed at ensuring the protection of refugees and IDPs in the context of conflict) has not been so prominent.",neutral,True
11515,"The right to participate in political decision-making processes is recognized by the international community as a fundamental human right: “everyone has the right to take part in the government of his country, directly or through freely chosen representatives...",neutral,True
11517,"The protection issues associated with natural disasters are, in many ways, comparable to those associated with conflict-related displacement.",neutral,True
11518,"Thus, against the backdrop of these developments, the High Commissioner in his Opening Statement to the 60th Session of the Executive Committee made a proposal for UNHCR to assume a more predictable role as Protection Lead at the country-level in natural disasters.",neutral,True
11519,"This principle should, however, be applied flexibly, taking into consideration the capacities and strengths of humanitarian organizations already operating in the country or region concerned.”",neutral,True
11521,"For the three UN agencies involved, it is considered to be more of a clarification of existing policy rather than a new policy.",neutral,True
11522,"The SOPs, in their present draft form, are intended to more expeditiously assure that the protection needs of those affected by a natural disaster are taken care of.",neutral,True
11523,"But these relate to specific issues (asylum-migration, urban refugees, and protracted refugee situations) which call for particular refugee protection officer profiles.",neutral,True
11524,"Addressing these gaps calls for separate initiatives (currently under consideration), and these require different protection capacities to those required for IDP situations, especially for coordinating and leading the Protection Cluster at the country level.",neutral,True
11527,"If one looks at the GLIDE (GLobal IDEntifier number) data-base, or EM-DAT of the Centre for Research on the Epidemiology of Disasters, one can see the alarming frequency of sudden-onset natural disasters.",neutral,True
11532,"Given the systemic linkages between UNDAC disaster assessments, CERF Rapid Response Grants and Flash Appeals, UNHCR should give serious consideration to becoming an integral member of UNDAC teams, along with OCHA, UNDP, UNICEF, WFP and WHO.",neutral,True
11534,"In the past, UNHCR has premised its involvement in IDP conflict-related operations on availability of resources.",neutral,True
11536,"Even if these amendments had been accepted, there would still be a problem in that the contributions from the envisaged appeals have not eventuated.",neutral,True
11540,"Similarly, the range of other actors working in the Protection Cluster means that the type of protection activities making up this Cluster in a Flash Appeal can be quite diverse.",neutral,True
11541,The issue is also raised in the recent IASC-sponsored Cluster Approach Evaluation Phase 2.,neutral,True
11542,A Cluster Lead has to ensure that all facets of protection are covered in a coherent fashion in any given situation; this approach to protection is more than the sum of the contributions of participating agencies working in a particular Cluster- coordinated operation.,neutral,True
11544,The first relates to an intervention by UNHCR limited to the provision of Non-Food Items (NFIs).,neutral,True
11545,"The fourth and fifth scenarios looked at the concrete interventions in Myanmar (2008) and Haiti (2010) as examples of a more general involvement in natural disasters, either with responsibility for particular Clusters (Myanmar) or without having a lead role in relation to any sector (Haiti).",neutral,True
11546,"One of the new, recurring features of recent involvements is the inclusion of Quick Impact Projects (QIPs) whose number and contents (and costs) vary from operation to operation.",neutral,True
11548,Related to the costs of intervention is the question of the duration of a given operation.,neutral,True
11549,"The IASC needs to establish guidelines for the winding up of clusters, and for ensuring that Strategic Operational Frameworks for each Cluster in a given operation include an exit strategy.",neutral,True
11550,"Partnerships are essential for effective protection delivery, be it in refugee or IDP situations.",neutral,True
11551,"Furthermore, there needs to be close cooperation between all the Clusters in a given operation, especially between the Shelter, CCCM and Education Clusters.",neutral,True
11554,The protection needs that present themselves in a natural disaster situation are not dissimilar to those found in refugee or IDP conflict-related situations: risk of sexual and gender-based violence (SGBV) due to overcrowding in evacuation centres; unequal access to relief; unaccompanied and separated children; lack of a system to identify and assist persons with special needs; limited information and consultation of communities on relief and rehabilitation measures; loss of personal identification documents; loss of housing and land for irregular slum dwellers with no avenues for compensation.,neutral,True
11558,"Natural disasters will require a further gearing up, as the first response in the form of the UNDAC team is within a time frame of 24 hours.",neutral,True
11559,"Moreover, given overall limited resources, the issue of prioritization of assistance for those affected in natural disasters becomes essential, and in this context, profiling of IDPs in natural disaster contexts, and registration of those in evacuation and relocation centres, are not just a management issue but a protection issue.",neutral,True
11560,It is in this perspective that UNHCR should seek to become part of the UNDAC.,neutral,True
11566,It is suggested that any further involvement in this new type of IDP operations by UNHCR should take place in an incremental manner with an involvement in 2010 limited initially to a specified number of natural disasters.,neutral,True
11567,"It does imply, however, that the other two protection-mandated agencies will also need to develop, along the lines of the UNICEF study considered below, their capacity to coordinate and deliver a comprehensive form of protection in an operationally effective manner in natural disaster situations.",neutral,True
11568,"Hopefully, this study may help in this regard.",neutral,True
11570,"The High Commissioner, in the light of the likely significant demands flowing from any UNHCR involvement in natural disasters, may need to review the staffing implications of such involvement; as a minimum, two parts of UNHCR Headquarters will require strengthening, namely the Emergency Preparedness and Response Section (EPRS), and the second pillar in the revised DIP structure which will be dealing with the Protection Cluster.",neutral,True
11573,The principal findings and recommendations of the evaluation can be summarized as follows.,neutral,True
11578,The context within which the project operated changed significantly in the course of 2009.,neutral,True
11579,"Only a limited number of the refugees can expect to be accepted for resettlement, and yet those who remain in the three countries of asylum have almost no prospect of 2 local integration or gaining secure residency rights, both of which have been effectively ruled out by the authorities.",neutral,True
11580,KEY FINDINGS: Effectiveness and impact.,neutral,True
11582,Strengthening resilience to shocks.,neutral,True
11583,"This study has found that PoC face high levels of shocks and stressors, inhibiting their livelihood development and progress toward self-reliance.",neutral,True
11584,A resilience approach is important to support PoC to not lose gains made from participating in livelihoods programmes when faced with shocks.,neutral,True
11585,"Considering the dynamic contexts and high level of shocks UNHCR is operating in, a resilience strategy helps programmes pivot from humanitarian to development approaches in areas with protracted crises and chronic stressors.",neutral,True
11595,External factors affecting results.,neutral,True
11596,Strengthening monitoring systems to measure impact and resilience.,neutral,True
11597,"Recognizing these challenges with the Focus Data, it is important that UNHCR began monitoring livelihoods outside of Focus through the revised monitoring indicators.",neutral,True
11600,"UNHCR first released the Minimum Criteria for Livelihoods Programming in February 2015 to bring greater accountability and quality assurance in livelihoods programming, but has recognized the need to shift and adapt these guidelines since their initiation.",neutral,True
11605,"Recognizing this, many operations are shifting to development-oriented and systems-level approaches.",neutral,True
11610,"Given that most UNHCR programmes are operating in contexts of protracted displacement, shocks will be a mainstay of the operational context, which is why a resilience framework is key.",neutral,True
11611,"TANGO recognizes that a fundamental question for the livelihood strategy moving forward is not only how to do livelihoods, but if UNHCR should do livelihoods.",neutral,True
11612,"In all, these roles build the foundation of refugee access to basic services and systems on which economic and development activities will depend.",neutral,True
11613,UNHCR must continue in its protection work but with a more intentional livelihoods and resilience lens in building absorptive capacity.,neutral,True
11614,"UNHCR should coordinate with partners operating at scale to fill that role of individual- based livelihood interventions: e.g., vocational trainings, business start-up, financial literacy, language learning, individual work permit applications, etc",neutral,True
11619,"As one of the entry points to the European Union, the Canary Islands have received large numbers of irregular maritime migrants in recent years, more than 30,000 in 2006 alone.",neutral,True
11620,"Branch Office in Madrid monitors the situation closely, however, and advocates for improved access to asylum procedures and the humane treatment of those people arriving by boat.",neutral,True
11621,"In the interests of brevity, these recommendations are not repeated in the main body of the report.",neutral,True
11623,A 2009 paper discusses the need for measurable benchmarks.,neutral,True
11627,In this way UNHCR can better manage the expectations and aspirations of all actors involved.,neutral,True
11629,"The emphasis in 2013 is on multi-lateral, multi-year planning to bring a multiplier effect through SUR.",neutral,True
11630,"For UNHCR, the issue of involving development actors in the search for durable solutions for persons displaced by conflict, namely refugees, has a long history stretching back to the early 1980s, in particular the International Conference on Assistance to Refugees in Africa (ICARA) in 1984.",neutral,True
11631,This paper attempts to account for this.,neutral,True
11633,"The unanticipated emergency generated a massive influx of migrants, refugees and asylum seekers in Tunisia and Egypt, two countries which themselves had only recently experienced major political upheavals.",neutral,True
11635,The border camps established in Tunisia and Egypt to accommodate the new arrivals presented UNHCR with the challenge of having to deal with a very diverse group of people in terms of both their nationality and their legal status.,neutral,True
11638,FINDINGS Contextual Constraints 1.,neutral,True
11642,"The magnitude of the refugee influx, compounded by the poor condition of arrivals, exacerbated extraordinary challenges.",neutral,True
11643,"An inadequate food aid mechanism, compounded by other unmet needs, had a destabilising effect on nutritional status.",neutral,True
11644,Systems and Policies 4.,neutral,True
11649,Operations 9.,neutral,True
11651,Coordination 12.Coordination mechanisms were inadequate for an effective response,neutral,True
11654,"By any standards the scale of the refugee influx in a relatively short period of time in Dollo Ado, with 24,000 arriving in one month alone was very challenging.",neutral,True
11660,"In fact, the most common source of cash income was reported to be the sale of food aid.",neutral,True
11661,By March 2011 the annual UNHCR planning figures for new arrivals had been exceeded in just three months.,neutral,True
11662,"Already in 2010 the existing refugee population in Dollo Ado could be classified as in a critical or emergency situation as per GAM rates (16%) aggravated by poor environmental sanitation, shelter problems, dependent on food aid and low measles vaccination coverage.6",neutral,True
11664,"The transit centre space was designed for 3,900 individuals for a maximum of 3 days however starting from the end of April 2011, the transit centre population exceeded the intended capacity and it remained over capacity for the next 8 months7.",neutral,True
11665,Coordination of the emergency response occurred at 3 levels.,neutral,True
11671,"Through an analysis of sources including programme documents and qualitative interviews with relevant stakeholders, the evaluation has reached the following primary conclusions.",neutral,True
11676,This should not entail a burgeoning of activities and scope but rather a much stronger focus.,neutral,True
11679,None of the strategic planning approaches that UNHCR may consider are new.,neutral,True
11682,Changing the way UNHCR does business?,neutral,True
11683,"The aim of the AGDM strategy was to ensure a broad participatory, rights- and community-based approach within UNHCR operations, based on an analysis of protection risks from the standpoint of age, gender and other social factors.",neutral,True
11684,The ACTION Plan also emphasized that AGDM was the responsibility of all UNHCR staff.,neutral,True
11685,"The AGDM strategy introduced a shift in thinking about the meaning of ""protection"".",neutral,True
11693,"The remainder of this Executive Summary, as in the main report, is organised around the six thematic areas of the 2007-2009 AGDM Action Plan.",neutral,True
11694,"A more strategic use of Community Services staff at the Management level in country operations to ensure the operation is guided by a clear, detailed and pro-active Age, Gender and Diversity Country Strategy.",neutral,True
11695,"UNHCR should encourage OCHA, as it works to identify a common needs assessment framework for humanitarian interventions, to consider the UNHCR PA tool as a valid, participatory methodology for identify age, gender and diversity issues in the context of emergency or other forms of humanitarian response.",neutral,True
11700,A revised PA tool must provide guidance on how operations should approach participation of persons of concern throughout the programme cycle.,neutral,True
11705,"Without a systematic baseline against which to measure progress, it is only possible to approximate the current state of UNHCR organisational capacity, as opposed to measuring progress.",neutral,True
11706,"Budget cuts often impact disproportionately on areas crucial to the protection of women, children and persons with specific needs, leaving them exposed to a variety of protection risks, particularly for persons who are already at heightened risk.",neutral,True
11707,"UNHCR must provide staff with more guidance as to how they are to do this in line with organizational realities and resources, and within the context of an overall AGDM Strategy.",neutral,True
11709,It is recommended that a formal dialogue with donors take place to address the issue of Non-Negotiable Standards of Assistance.,neutral,True
11710,Findings 1.,neutral,True
11713,A final factor that has an important influence on predictability is planning for transition and de-activation.,neutral,True
11720,"Are the three strategies relevant, coherent, informed by evidence, and adequately designed?",neutral,True
11721,To what extent have the strategies been implemented?,neutral,True
11722,"With regards to the Education Strategy, nearly all the countries that were implementing any education activities corresponding to strategy action areas were already including these in the COP in 2012.",neutral,True
11723,What were the results of the strategies?,neutral,True
11725,III.,neutral,True
11730,The response to the sudden influx of hundreds of thousands of Rohingya into Bangladesh in August 2017 has been complex and challenging.,neutral,True
11731,"The next phase will be equally challenging, albeit in a different way.",neutral,True
11732,This outcome was not guaranteed.,neutral,True
11734,A Prime Ministerial directive in mid-September enabled UNHCR to work at scale throughout the affected region.,neutral,True
11737,"In practice, this translates to undertaking activities aimed at obtaining full respect for the rights of individuals, in accordance with international humanitarian, human rights and refugee law.",neutral,True
11738,"As a result, it should be examined together with the findings in the next section.",neutral,True
11739,"Throughout the first year of the response, UNHCR was the protection lead for the Rohingya response, but was not the overall lead agency either in terms of delivery or coordination, despite this being a refugee crisis (see main body of report for a detailed explanation of this).",neutral,True
11740,"Unfortunately, its launch coincided with the signing of the Memorandum of Understanding (MoU) between UNHCR, the United Nations Development Programme (UNDP) and the Government of Myanmar, the contents of which have not been made public, leading to suspicion among the Rohingya refugees as to the true purpose for the registration, and concurrently, a slow uptake.",neutral,True
11741,"In the settlements, community-based protection approaches were a critical intervention given that the scale of the response made it close to impossible to establish and manage an effective case management system, particularly in the first few months.",neutral,True
11742,"Many of the agencies in the refugee response do not have refugee protection expertise or backgrounds in protection, and mainstreaming protection seems rather abstract.",neutral,True
11743,"Already some refugees reportedly resort to hazardous and exploitative illegal work to get by, including within the drugs trade and the sex industry.",neutral,True
11744,"The scale of these problems is unknown given limited security at night, no access to justice, a culture of impunity and cultural barriers.",neutral,True
11745,"Coordination for the Rohingya refugee response has been complex, evolving and a reflection of inter-agency dynamics and Government of Bangladesh policies and priorities.",neutral,True
11746,"In Dhaka, a tripartite Strategic Executive Group (SEG) leads the international response, and is jointly led by the Resident Coordinator, UNHCR and IOM.",neutral,True
11747,"In terms of the international response, a different coordination approach exists, with roughly half the population living in camps managed by IOM and the other half living in camps managed by UNHCR based on a geographic division of responsibility.",neutral,True
11748,The ISCG was initially led by IOM and in place prior to the August 2017 influx through Government directives provided between 2013 and 2017.,neutral,True
